EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
IBM INDIA PRIVATE LIMITED,SAP PLM TECNO-FUNCTIONAL CONSULTANT,67350,"MILWAUKEE, WI",1/28/15,7/28/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PO ANALYST,73965,"MARYSVILLE, OH",2/13/15,8/14/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL & HYBRIS LEAD,77334,"CHESTERBROOK, PA",1/3/17,4/2/17,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL ARCHITECT,70658,"WAUKEGAN, IL",7/22/14,7/29/14,WITHDRAWN
IBM INDIA PRIVATE LIMITED,SAP PORTAL ARCHITECT,70658,"WAUKEGAN, IL",7/23/14,7/29/14,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL ARCHITECT,70658,"WAUKEGAN, IL",7/31/14,8/8/14,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSLTANT,54517,"BATON ROUGE, LA",2/5/15,8/5/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSULTANT,67035,"BATON ROUGE, LA",2/24/15,8/24/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSULTANT,69258,"INDIANAPOLIS, IN",10/22/13,11/1/13,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSULTANT,69258,"INDIANAPOLIS, IN",10/23/13,11/1/13,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSULTANT,70304,"RARITAN, NJ",2/19/15,8/19/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSULTANT,72233,"MINNEAPOLIS, MN",1/27/16,2/17/16,CERTIFIED
IBM INDIA PRIVATE LIMITED,SAP PORTAL CONSULTANT,73650,"BATON ROUGE, LA",2/3/15,8/3/15,WITHDRAWN
