EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",10/6/15,10/6/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LA VERGNE, TN",10/7/15,10/7/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"NASHVILLE, TN",10/7/15,10/7/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",10/12/15,10/12/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"WINSTON SALEM, NC",10/12/15,10/12/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",10/14/15,10/14/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",10/15/15,10/15/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FOLSOM, CA",10/21/15,10/21/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"TEMPE, AZ",10/30/15,10/30/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PORTAGE, MI",11/3/15,11/4/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FINDLAY, OH",11/6/15,11/6/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",11/10/15,11/10/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",11/13/15,11/13/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOUNT LAUREL, NJ",11/17/15,11/17/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CHANDLER, AZ",11/24/15,11/24/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"TULSA, OK",12/9/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LEXINGTON, KY",12/8/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",12/7/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",12/8/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOUNT LAUREL, NJ",12/9/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CORVALLIS, OR",12/9/15,12/10/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FINDLAY, OH",12/9/15,12/9/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"NAPA, CA",12/24/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PRESCOTT, AZ",12/24/15,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FLORENCE, KY",12/28/15,12/28/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"GREENVILLE, SC",1/6/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",1/10/16,1/10/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FOLSOM, CA",1/19/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CHANDLER, AZ",1/19/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",1/24/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JACKSONVILLE, FL",1/25/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PHOENIX, AZ",1/26/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JACKSONVILLE, FL",1/27/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PHOENIX, AZ",1/29/16,1/29/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"TULSA, OK",1/29/16,1/29/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BOTHELL, WA",1/31/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CORVALLIS, OR",2/5/16,2/5/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JEFFERSON CTY, MO",2/6/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOORESTOWN, NJ",2/8/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"COLUMBUS, GA",2/10/16,2/10/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ANDERSON, SC",2/13/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BELLEVUE, WA",2/19/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MENOMONEE FALLS, WI",2/22/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ROCHESTER, NY",2/22/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",2/24/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MILWAUKEE, WI",3/10/16,6/1/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MILWAUKEE, WI",3/11/16,6/1/16,WITHDRAWN
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PORTAGE, MI",3/21/16,3/21/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",3/24/16,3/24/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",3/24/16,3/24/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"GREENVILLE, SC",4/12/16,4/12/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BELLEVUE, WA",4/13/16,4/13/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOUNT LAUREL, NJ",4/14/16,4/14/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",4/18/16,4/18/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",4/28/16,4/28/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FINDLAY, OH",5/9/16,5/9/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",5/10/16,5/10/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CHANDLER, AZ",5/10/16,5/10/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"TULSA, OK",5/10/16,5/10/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PHOENIX, AZ",5/26/16,5/26/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"TEMPE, AZ",6/17/16,6/17/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",6/24/16,6/24/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",6/28/16,6/28/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",6/30/16,6/30/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"NASHVILLE, TN",7/13/16,7/13/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LINCOLN, NE",7/18/16,7/18/16,DENIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LINCOLN, NE",7/22/16,7/22/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LAKELAND, FL",7/26/16,7/26/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ROCHESTER, NY",8/8/16,8/8/16,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"DES MOINES, IA",8/30/16,8/30/16,CERTIFIED
